0.00, 4.89, -5.27
5.00, 5.15, 0.00
4.96, 5.15, 0.63
4.84, 5.15, 1.24
4.65, 5.15, 1.84
4.38, 5.15, 2.41
4.05, 5.15, 2.94
3.64, 5.15, 3.42
3.19, 5.15, 3.85
2.68, 5.15, 4.22
2.13, 5.15, 4.52
1.55, 5.15, 4.76
0.94, 5.15, 4.91
0.31, 5.15, 4.99
-0.31, 5.15, 4.99
-0.94, 5.15, 4.91
-1.55, 5.15, 4.76
-2.13, 5.15, 4.52
-2.68, 5.15, 4.22
-3.19, 5.15, 3.85
-3.64, 5.15, 3.42
-4.05, 5.15, 2.94
-4.38, 5.15, 2.41
-4.65, 5.15, 1.84
-4.84, 5.15, 1.24
-4.96, 5.15, 0.63
-5.00, 5.15, 0.00
-4.96, 5.15, -0.63
-4.84, 5.15, -1.24
-4.65, 5.15, -1.84
-4.38, 5.15, -2.41
-4.05, 5.15, -2.94
-3.64, 5.15, -3.42
-3.19, 5.15, -3.85
-2.68, 5.15, -4.22
-2.13, 5.15, -4.52
-1.55, 5.15, -4.76
-0.94, 5.15, -4.91
-0.31, 5.15, -4.99
0.31, 5.15, -4.99
0.94, 5.15, -4.91
1.55, 5.15, -4.76
2.13, 5.15, -4.52
2.68, 5.15, -4.22
3.19, 5.15, -3.85
3.64, 5.15, -3.42
4.05, 5.15, -2.94
4.38, 5.15, -2.41
4.65, 5.15, -1.84
4.84, 5.15, -1.24
