0.27173, 0.00000, 0.00000, 0.96237
0.21258, -0.67439, 0.21258, 0.67439
0.19882, -0.71541, 0.22551, 0.63072
0.18426, -0.75360, 0.23755, 0.58455
0.16898, -0.78882, 0.24865, 0.53608
-0.15304, 0.82092, -0.25877, -0.48549
-0.13649, 0.84979, -0.26787, -0.43299
-0.11940, 0.87530, -0.27591, -0.37878
-0.10184, 0.89735, -0.28287, -0.32307
-0.08388, 0.91587, -0.28870, -0.26608
-0.06558, 0.93077, -0.29340, -0.20805
-0.04703, 0.94200, -0.29694, -0.14920
-0.02829, 0.94951, -0.29931, -0.08975
-0.00944, 0.95327, -0.30049, -0.02996
0.00944, 0.95327, -0.30049, 0.02996
0.02829, 0.94951, -0.29931, 0.08975
0.04703, 0.94200, -0.29694, 0.14920
0.06558, 0.93077, -0.29340, 0.20805
0.08388, 0.91587, -0.28870, 0.26608
0.10184, 0.89735, -0.28287, 0.32307
0.11940, 0.87530, -0.27591, 0.37878
0.13649, 0.84979, -0.26787, 0.43299
0.15304, 0.82092, -0.25877, 0.48549
0.16898, 0.78882, -0.24865, 0.53608
0.18426, 0.75360, -0.23755, 0.58455
0.19882, 0.71541, -0.22551, 0.63072
0.21258, 0.67439, -0.21258, 0.67439
0.22551, 0.63072, -0.19882, 0.71541
0.23755, 0.58455, -0.18426, 0.75360
0.24865, 0.53608, -0.16898, 0.78882
0.25877, 0.48549, -0.15304, 0.82092
0.26787, 0.43299, -0.13649, 0.84979
0.27591, 0.37877, -0.11940, 0.87530
0.28287, 0.32307, -0.10184, 0.89735
0.28870, 0.26608, -0.08388, 0.91587
0.29340, 0.20805, -0.06558, 0.93077
0.29694, 0.14920, -0.04703, 0.94200
0.29931, 0.08975, -0.02829, 0.94951
0.30049, 0.02996, -0.00944, 0.95327
0.30049, -0.02996, 0.00944, 0.95327
0.29931, -0.08975, 0.02829, 0.94951
0.29694, -0.14920, 0.04703, 0.94200
0.29340, -0.20805, 0.06558, 0.93077
0.28870, -0.26608, 0.08388, 0.91587
0.28287, -0.32307, 0.10184, 0.89735
0.27591, -0.37878, 0.11940, 0.87530
0.26787, -0.43299, 0.13649, 0.84979
0.25877, -0.48549, 0.15304, 0.82092
0.24865, -0.53608, 0.16898, 0.78882
0.23755, -0.58455, 0.18426, 0.75360
